RT,Height,Area
3.808,889644,37183.824
3.883,9379072,286366.094
3.928,1297820,34187.949
3.957,771361,16856.977
4.003,554157,17802.047
4.072,22147974,820729.5
4.176,3161899,110449.883
4.211,1479547,52549.52
4.344,544672,46997.699
4.464,644258,22265.443
4.475,656287,22100.598
4.563,25650194,1152243.875
4.643,6220939,311852.063
4.707,511646,6761.696
4.787,3587890,0
4.896,2960383,161285.453
4.957,456097,11553.625
5.101,1694977,193088.5
5.376,475194,92984.922
5.525,435443,38856.449
5.651,419673,11328.804
5.776,19137892,1436821.875
5.96,3160451,248047.609
6.08,1053666,94363.102
6.152,629680,21275.947
6.208,645858,18013.424
6.296,2115293,203311.25
6.515,1731061,187825.375
6.664,36316,467.457
6.853,1396263,188570.328
7.096,1148509,151722.438
7.437,483754,42281.004
7.445,483431,35897.938
7.776,210301,25656.822
7.901,50783,1364.465
7.968,227097,10708.958
8.019,282561,16008.296
8.077,229618,3355.572
8.197,16100792,1260557.375
8.283,254416,4839.884
8.413,2306753,221821.547
8.669,967669,73704.063
8.704,1026281,113011.539
8.88,1861950,177488.016
9.133,858437,95050.82
9.325,334885,48096.977
9.557,251225,26493.563
9.795,627003,68389.664
9.944,1044449,94493.984
9.955,1053029,73514.508
10.141,2516662,203037.219
10.272,131005,2469.747
10.341,69769,4417.693
10.397,32402,1372.752
10.592,229850,23626.813
10.765,322376,22949.877
10.899,300667,8705.427
11.008,15500000,1069288.125
11.208,1772588,107823.375
11.272,678956,34505.676
11.373,723963,103369.875
11.555,548068,30770.951
11.627,1506144,130527.109
11.739,39756,311.522
11.875,722513,113254.594
12.12,236487,45986.246
12.317,176097,9288.677
12.365,223435,15092.697
12.552,2499122,222651.078
12.651,1828953,131058.688
12.763,309227,3298.737
12.848,596245,37039.863
12.877,702974,53373.172
13.069,65314,4864.567
13.267,367551,48685.527
13.411,108812,4324.074
13.544,14161000,827468.688
13.621,1230094,58335.543
13.704,3354025,361939.281
13.896,424861,15338.543
14.091,1426521,115557.891
14.264,226686,6739.171
14.315,510601,30929.641
14.352,371413,11446.367
14.408,637490,81652.758
14.587,263981,20739.57
14.811,1489691,158343.219
14.995,1656970,130819.117
15.059,1126498,66798.078
15.149,118291,2217.678
15.256,390947,38003.527
15.411,26688,957.964
15.552,491337,45083.586
15.659,1887217,106971.961
15.76,14707288,777078.125
15.835,1301678,75692.07
15.931,2304940,125458.445
15.979,1624357,144622.516
16.192,444883,13484.522
16.245,1415091,83672.828
16.299,685080,30433.059
16.395,49978,456.731
16.451,876482,46097.633
16.507,360985,14968.62
16.728,384646,49538.125
16.901,895645,107656.648
17.032,734686,42114.203
17.136,2922185,237232.828
17.328,447488,20704.682
17.381,918906,49418.75
17.485,751922,51726.406
17.571,143081,1883.058
17.632,588178,28739.818
17.736,11519130,584137.625
17.803,694992,26330.018
17.893,1783497,126013.445
17.939,824839,15276.256
17.968,832847,71716.625
18.139,200674,8572.291
